"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 08 15:12:26 UTC 2024","Fri Mar 08 15:12:26 UTC 2024","60","tests","test_shopping_cart","TestShoppingCart","","","Delete all items from the cart",""
"passed","Fri Mar 08 15:11:19 UTC 2024","Fri Mar 08 15:11:24 UTC 2024","5302","tests","test_catalog","TestCatalogPrice","","","Showing items from category Men clothing",""
"broken","Fri Mar 08 15:11:32 UTC 2024","Fri Mar 08 15:11:39 UTC 2024","7507","tests","test_catalog","TestCatalogPrice","","","Clear cart in the cart view window",""
"passed","Fri Mar 08 15:11:14 UTC 2024","Fri Mar 08 15:11:19 UTC 2024","5346","tests","test_catalog","TestCatalogPrice","","","Showing items from category Jewelery",""
"failed","Fri Mar 08 15:11:03 UTC 2024","Fri Mar 08 15:11:09 UTC 2024","5755","tests","test_catalog","TestCatalogPrice","","","Show 36 products per page",""
"broken","Fri Mar 08 15:11:50 UTC 2024","Fri Mar 08 15:11:50 UTC 2024","350","tests","test_orders","TestOrdersHistory","","","Change order status",""
"failed","Fri Mar 08 15:10:57 UTC 2024","Fri Mar 08 15:11:03 UTC 2024","5804","tests","test_catalog","TestCatalogPrice","","","Show 24 products per page",""
"broken","Fri Mar 08 15:11:24 UTC 2024","Fri Mar 08 15:11:36 UTC 2024","11546","tests","test_catalog","TestCatalogPrice","","","Add item to cart",""
"failed","Fri Mar 08 15:11:03 UTC 2024","Fri Mar 08 15:11:08 UTC 2024","5578","tests","test_catalog","TestCatalogPrice","","","Sorting in descending order",""
"broken","Fri Mar 08 15:11:59 UTC 2024","Fri Mar 08 15:12:09 UTC 2024","9703","tests","test_payment","TestPayment","","","Go back to the store",""
"broken","Fri Mar 08 15:11:15 UTC 2024","Fri Mar 08 15:11:16 UTC 2024","1259","tests","test_catalog","TestCatalogPrice","","","Show items in a grid of 3",""
"passed","Fri Mar 08 15:11:09 UTC 2024","Fri Mar 08 15:11:14 UTC 2024","5366","tests","test_catalog","TestCatalogPrice","","","Showing items from category Electronics",""
"passed","Fri Mar 08 15:12:09 UTC 2024","Fri Mar 08 15:12:11 UTC 2024","1394","tests","test_shopping_cart","TestShoppingCart","","","Home button check",""
"passed","Fri Mar 08 15:11:40 UTC 2024","Fri Mar 08 15:11:41 UTC 2024","1195","tests","test_catalog","TestCatalogPrice","","","Open order history",""
"passed","Fri Mar 08 15:12:33 UTC 2024","Fri Mar 08 15:12:33 UTC 2024","69","tests","test_shopping_cart","TestShoppingCart","","","Delete item from cart",""
"passed","Fri Mar 08 15:11:18 UTC 2024","Fri Mar 08 15:11:24 UTC 2024","6554","tests","test_catalog","TestCatalogPrice","","","Add item to cart",""
"failed","Fri Mar 08 15:10:57 UTC 2024","Fri Mar 08 15:11:03 UTC 2024","5708","tests","test_catalog","TestCatalogPrice","","","Sorting in ascending order",""
"broken","Fri Mar 08 15:11:16 UTC 2024","Fri Mar 08 15:11:17 UTC 2024","1195","tests","test_catalog","TestCatalogPrice","","","Show items in a grid of 4",""
"passed","Fri Mar 08 15:12:19 UTC 2024","Fri Mar 08 15:12:19 UTC 2024","60","tests","test_shopping_cart","TestShoppingCart","","","Checking continue shopping button",""
"broken","Fri Mar 08 15:11:30 UTC 2024","Fri Mar 08 15:11:32 UTC 2024","1221","tests","test_catalog","TestCatalogPrice","","","Show items in the list view",""
"passed","Fri Mar 08 15:11:09 UTC 2024","Fri Mar 08 15:11:13 UTC 2024","4603","tests","test_catalog","TestCatalogPrice","","","Show 12 products per page",""
"passed","Fri Mar 08 15:11:25 UTC 2024","Fri Mar 08 15:11:30 UTC 2024","5322","tests","test_catalog","TestCatalogPrice","","","Showing items from category Women clothing",""
"passed","Fri Mar 08 15:12:11 UTC 2024","Fri Mar 08 15:12:12 UTC 2024","1186","tests","test_shopping_cart","TestShoppingCart","","","Checking the start button in an empty shopping cart",""
"broken","Fri Mar 08 15:11:36 UTC 2024","Fri Mar 08 15:12:21 UTC 2024","44528","tests","test_catalog","TestCatalogPrice","","","Add item to cart",""
"failed","Fri Mar 08 15:12:30 UTC 2024","Fri Mar 08 15:12:32 UTC 2024","1565","tests","test_orders","TestOrdersHistory","","","Delete order",""
"broken","Fri Mar 08 15:12:39 UTC 2024","Fri Mar 08 15:12:41 UTC 2024","2006","tests","test_shopping_cart","TestShoppingCart","","","Transfer total price from cart to payment",""
"passed","Fri Mar 08 15:12:39 UTC 2024","Fri Mar 08 15:12:41 UTC 2024","2459","tests","test_shopping_cart","TestShoppingCart","","","Proceed to checkout",""
