"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Mar 09 15:47:02 UTC 2024","Sat Mar 09 15:47:14 UTC 2024","11718","tests","test_payment","TestPayment","","","Go back to the store",""
"passed","Sat Mar 09 15:46:37 UTC 2024","Sat Mar 09 15:47:21 UTC 2024","44809","tests","test_catalog","TestCatalogPrice","","","Add item to cart",""
"passed","Sat Mar 09 15:46:31 UTC 2024","Sat Mar 09 15:46:38 UTC 2024","7079","tests","test_catalog","TestCatalogPrice","","","Clear cart in the cart view window",""
"failed","Sat Mar 09 15:45:53 UTC 2024","Sat Mar 09 15:45:59 UTC 2024","6156","tests","test_catalog","TestCatalogPrice","","","Sorting in descending order",""
"passed","Sat Mar 09 15:47:38 UTC 2024","Sat Mar 09 15:47:39 UTC 2024","230","tests","test_shopping_cart","TestShoppingCart","","","Delete item from cart",""
"passed","Sat Mar 09 15:46:08 UTC 2024","Sat Mar 09 15:46:13 UTC 2024","5008","tests","test_catalog","TestCatalogPrice","","","Showing items from category Jewelery",""
"passed","Sat Mar 09 15:46:21 UTC 2024","Sat Mar 09 15:46:26 UTC 2024","4885","tests","test_catalog","TestCatalogPrice","","","Showing items from category Women clothing",""
"passed","Sat Mar 09 15:47:43 UTC 2024","Sat Mar 09 15:47:43 UTC 2024","231","tests","test_shopping_cart","TestShoppingCart","","","Delete all items from the cart",""
"failed","Sat Mar 09 15:45:53 UTC 2024","Sat Mar 09 15:45:59 UTC 2024","6210","tests","test_catalog","TestCatalogPrice","","","Show 36 products per page",""
"passed","Sat Mar 09 15:46:16 UTC 2024","Sat Mar 09 15:46:22 UTC 2024","6147","tests","test_catalog","TestCatalogPrice","","","Add item to cart",""
"broken","Sat Mar 09 15:46:12 UTC 2024","Sat Mar 09 15:46:14 UTC 2024","1624","tests","test_catalog","TestCatalogPrice","","","Show items in a grid of 4",""
"passed","Sat Mar 09 15:47:20 UTC 2024","Sat Mar 09 15:47:22 UTC 2024","1631","tests","test_shopping_cart","TestShoppingCart","","","Checking the start button in an empty shopping cart",""
"failed","Sat Mar 09 15:47:31 UTC 2024","Sat Mar 09 15:47:34 UTC 2024","2937","tests","test_orders","TestOrdersHistory","","","Delete order",""
"passed","Sat Mar 09 15:47:30 UTC 2024","Sat Mar 09 15:47:30 UTC 2024","236","tests","test_shopping_cart","TestShoppingCart","","","Checking continue shopping button",""
"broken","Sat Mar 09 15:46:51 UTC 2024","Sat Mar 09 15:46:51 UTC 2024","367","tests","test_orders","TestOrdersHistory","","","Change order status",""
"passed","Sat Mar 09 15:47:51 UTC 2024","Sat Mar 09 15:47:53 UTC 2024","2297","tests","test_shopping_cart","TestShoppingCart","","","Transfer total price from cart to payment",""
"passed","Sat Mar 09 15:46:01 UTC 2024","Sat Mar 09 15:46:06 UTC 2024","5037","tests","test_catalog","TestCatalogPrice","","","Showing items from category Electronics",""
"passed","Sat Mar 09 15:46:01 UTC 2024","Sat Mar 09 15:46:06 UTC 2024","4504","tests","test_catalog","TestCatalogPrice","","","Show 12 products per page",""
"passed","Sat Mar 09 15:46:28 UTC 2024","Sat Mar 09 15:46:30 UTC 2024","1565","tests","test_catalog","TestCatalogPrice","","","Show items in the list view",""
"passed","Sat Mar 09 15:46:40 UTC 2024","Sat Mar 09 15:46:42 UTC 2024","1530","tests","test_catalog","TestCatalogPrice","","","Open order history",""
"passed","Sat Mar 09 15:47:47 UTC 2024","Sat Mar 09 15:47:48 UTC 2024","1230","tests","test_shopping_cart","TestShoppingCart","","","Proceed to checkout",""
"failed","Sat Mar 09 15:45:45 UTC 2024","Sat Mar 09 15:45:51 UTC 2024","6113","tests","test_catalog","TestCatalogPrice","","","Sorting in ascending order",""
"passed","Sat Mar 09 15:46:24 UTC 2024","Sat Mar 09 15:46:35 UTC 2024","10491","tests","test_catalog","TestCatalogPrice","","","Add item to cart",""
"failed","Sat Mar 09 15:45:45 UTC 2024","Sat Mar 09 15:45:51 UTC 2024","6256","tests","test_catalog","TestCatalogPrice","","","Show 24 products per page",""
"passed","Sat Mar 09 15:46:09 UTC 2024","Sat Mar 09 15:46:10 UTC 2024","1848","tests","test_catalog","TestCatalogPrice","","","Show items in a grid of 3",""
"passed","Sat Mar 09 15:47:16 UTC 2024","Sat Mar 09 15:47:18 UTC 2024","2110","tests","test_shopping_cart","TestShoppingCart","","","Home button check",""
"passed","Sat Mar 09 15:46:15 UTC 2024","Sat Mar 09 15:46:20 UTC 2024","4848","tests","test_catalog","TestCatalogPrice","","","Showing items from category Men clothing",""
